id,Comment,Sentiment
46,I love this top. i wear it all the time.  the problem is that you can tell i wear it all the time as the fabric has started to fade.  id still recommend it as it is so comfortable.,Positive
47,"Very comfortable, material is good, cut out on sleeves flattering",Positive
48,"This sweater is perfect for fall...its roomy, warm, super comfy and the color really pops.",Positive
51,"I absolutely love this bib tee! its probably my favorite retailer purchase of all time. im 57, 140 pounds and the small was a perfect fit for me. i typically wear either a s or m tops.",Positive
53,"Very soft and comfortable. the shirt has an unusual, asymmetrical seam that appears along the front, right-hand side of the garment. (the model is positioned so that you cant see this detail from the picture. i attached a picture that includes the front seam.) i actually like the seam - it creates more visual interest, and adds a little bit of ruching that helps hide my belly. the cowl neck is very well done - there are two layers that form the cowl, and ive found that it means wardrobe malfun",Positive
55,This is an adorable top that i find to be extremely comfortable. i dont usually buy prints but this one is so feminine and looks great with dark wash jeans. i am a 36d and the medium was a perfect fit.,Positive
56,"I am pregnant and i thought this would be a great sleep bra. its soft and fits okay, but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store, i would have passed over it. however, i was too lazy to return so i am wearing it. its comfortable so thats a redeeming quality. i would not recommend for larger chested ladies, though!",Negative
57,This tank fit well and i loved the ruffle in the back and how it layed. but the front was not a good look and i will be retuning it.,Negative
60,"This dress is simply beautiful and stunning. it is so figure flattering and i cant wait to wear it. size small worked for me, and since im tall it fell right to my ankle which is perfect for me. i could not be happier with the purchase and the keyhole in the back is a beautiful detail.",Positive
61,"3 tags sewn in, 2 small (about 1 long) and 1 huge (about 2 x 3). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however, this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasnt so itchy!",Negative
62,I recently got this on sale after looking at it forever on my wish list. im so happy with it. its very comfortable and just long enough for my torso (53). the pattern on the front is very flattering.,Positive
67,"Love this top! i kept eyeing it online and wavering on size, since my post-baby body is a little wonky. i went with the xsp, and miraculously, it works perfectly! so, i would say it does run just a little large..... i love the length, and usually do not go with petite sizes at retailer because i like the longer lengths of the regular. but this is perfect on me, and there is give up top, so it looks lovely. and it is very soft and comfortable. this will be a go-to top this season!",Positive
68,"I really loved this top online and wanted to love it in person. it is soft and the patter is okay in person. the neckline is higher than i am used to. also, there are two buttons in the back that must be unbuttoned in order to wear the top. it is difficult to button them behind your neck with the top on. unfortunately i had to return this item...",Negative
69,"I really wanted this to work. alas, it had a strange fit for me. the straps would not stay up, and it had a weird fit under the breast. it worked standing up, but the minute i sat down it fell off my shoulders. the fabric was beautiful! and i loved that it had pockets.",Negative
71,"Why do designers keep making crop tops??!! i cant imagine this would be flattering on anyone, especially someone average height and well endowed on top. i looked like a football player. the pattern and fabric are gorgeous, so if you are like 4 tall and super tiny and can fit xxs this may work? i am between a 6-8 and fit a small and it was huge on me and almost was bigger at the bottom than the top. such a weird cut. there is a cami underneath so if it rides up that will show but that is so 80s",Negative
77,"The zipper broke on this piece the first time i wore it. very disappointing since i love the design. im actually going to try to replace the zipper myself with something stronger, but annoying that its come to that.",Negative
85,"I was really hoping to like this, but it did not look the way it does on the model, at least not on me. the sharkbite hem is much more pronounced and looser. the one in the photo looks like it was pinned back. i am 58 and usually wear a medium or large. i got a medium and there was a lot more material on the bottom half than the photo shows. it made me look bigger and was not flattering. material has a nice weave but its thin and delicate. i bought the (holly) deep olive and the blue. colors",Negative
88,"Really cute piece, but its huge. i ordered an xxs petite and it was unfortunately extremely wide and not flattering. returning.",Negative
95,"Purchased this top online, and when i received it was very pleased.
it has and elegant cut and yet is a casual fabric.
love that the sleeves run longer......ads to the overall look.
also loved the v neckline.........enhances the feel of the overall style.
with various necklaces this top has limitless options!
the color states moss....which i usually think of as greenish brown......i found it to be more of a taupe.
would have liked it to have a green tones, however it is still a fantastic f",Positive
96,"I usually wear a medium and bought a small. it fit ok, but had no shape and was not flattering. i love baby doll dresses and tops, but this was a tent. my daughter saw me try it on and said thats a piece of tablecloth. its going back.",Negative
97,"I was very excited to order this top in red xs. so cute, but it was huge, shapeless and support thin! it had to go back. i shouldve looked at other reviews.",Negative
99,"I am in need of easy comfortable tops for everyday wear. i bought this top mostly because of the cute buttons. when i received it, it looked exactly as it does in the picture online, however, the buttons kept slipping out of their homes because the holes were slightly too big. the shirt fit but was just a tad snug near the upper arms, which would stretch and loosen up throughout the day. its definitely a comfortable shirt, but it felt more like a pajama top. its going back.",Negative
103,The fabric felt cheap and i didnt find it to be a flattering top. for reference i am wearing a medium in the photos and my measurements are 38-30-40.,Negative
104,"Runs big and looked unflattering. i am petite, might work on someone taller.",Negative
110,This is so thin and poor quality. especially for the price. it felt like a thin pajama top. the buttons are terrible little shell buttons. this could not have been returned faster.,Negative
112,"I read the first review on this and ordered both a small and a medium as i thought this would run small. i have to totally disagree with the reviewer! i find that this top runs true to size or even generous! the sky color is so pretty and this top can be dressed up with some nice heels and a necklace or it can be comfy casual! i usually wear a small in hh brand and this one was true to fit (52, broad shoulders, 120 lb)",Positive
113,This dress is comfortable and stylish at the same time. it runs true to size. im 51 113 lbs and got the xs petite. wore it once so far for a few hours and got a few compliments on it!,Positive
114,"The design/shape of the dress are quite flattering, flirty and feminine. but.... there is no way that the dress i received is new. the color is a faded washed out red and there are black stains all over the belt area. there is no tag... the fabric looks droopy and laundered and is not crisp, stiff or new. i am very disappointed by the quality of the item that i received. undoubtedly this one is going back.

dear retailer - please make sure that you do not send pre-owend clothing articles to",Negative
118,"First, the fabric is beautiful and lovely for spring and summer. i really wanted to like this top, but the fitting is so awkward for me. i typically where a 0/xs, and sized up in the shirt to a size 2. it was very tight and pulled funny across the chest (size 32/a). i also found the cut at the shoulders very narrow (need a strapless bra) and made it look unflattering overall. had to return this one back to the store.",Negative
120,"The perfect striped t-shirt, and the cute little buttons down the front are a wonderful accent with each one being different. i love it!",Positive
122,"This is a great pull over dress that can easily be dressed to wear to work, to a bbq, or to happy hour. i have a large chest which sometimes makes this fit look like a tent but this fabric drapes nicely. the only thing i would note is the neckline was slightly higher on me than for the model.",Positive
124,"I was so excited to try out this top since it was such a bargain and neutral. unfortunately, the shape is a line and accentuates the hip area a bit more than i find flattering. so, it will be returned.",Negative
127,"This coat is beautiful! i love the color and the design. it definitely runs a little large. i usually wear a small or a zero and i can wear a small wth a large sweater underneath no problem. i might have wanted an extra small but i just stuck with the small because i needed the coat already. the vest keeps it warm, but the sleeves arent lined so its cold unless you have a nice sweater underneath it if youre going to be in cold weather.",Positive
133,"I love this vest! there are so many ways to style it...open or tied closed, over a dress or with a tshirt and jeans. i get compliments every time i wear it. its soft and light enough to add interest to an outfit without being too heavy/hot to wear all day.",Positive
139,"The silhouette and length of this skirt and length are flattering, classic and comfortable! the colors and weight of this skirt make it versatile - could be worn year-round (so long as its not 100 degrees out - there is a bit of weight to it). its one of my favorite pieces in my closet. can be styled 20 different ways. pair with a higher-end tee, tank, denim jacket or body-hugging sweater. i sized down.",Positive
144,"My firned tried this on and her first comment was take it off, it is scratchy, so i didnt bother trying it on. it is, however, beautiful, if you are not sensitive to scratchy material.
fit was true to size.",Negative
149,"This skirt is wonderful! the price point seems a bit high for the average office gal, but the quality is impeccable. i really enjoy looking at myself in the mirror when wearing this skirt. it can be dressed up, dressed down, worn during all seasons. the design/pattern is artsy and whimsical without being too out-there (unless you want it to be, of course!). the fit is true to size, and the delicate details are just lovely.",Positive
150,"Like other reviewers noted, the pics dont do this skirt justice. it is truly beautiful with an intricate lace pattern and rich colors. cant wait to wear this to work!",Positive
152,"Not keeping this one. the fabric is a bit tacky-looking in person, the cut is odd and its just not me. fit is fine and there are snaps to keep the neckline flat and shaped, the colors are as shown and it is a good length (falls to top of hip). i simply did not like it. too metallic looking maybe...",Negative
155,This top is so much better in person. i do not agree with some of the other reviews about the fabric being scratchy. it is not and i have sensitive skin. i love this top and have got lots of compliments.,Positive
157,So  disappointed that no where in the limiting did it mention this suit is australian in size!! i ordered the 10 (im usually an 8 but that was sold out) and the suit arrives and doesnt even fir over my hips. -- the label clearly says 10 australian us 6!  gutted that i have to return this suit because of this sizing issue.  the suit looks to be well made and the design is adorable of it only for.,Negative
161,"The title says it all....this fabric of this top is both the best and worst part of the design. the colors are vibrant and the combination of materials (shoulder is a knit, sweater-like navy fabric) is interesting. however, that is where the positive comments end on this one. the top is so scratchy,, stiff, and, frankly, uncomfortable. i cannot imagine wanting to wear it. it could benefit from a lining, and that might have solved the problem of scratchy, itchy fabric.

the stiff fabric of the bo",Negative
163,The online picture does not do this skirt justice. its very pretty and unique in design. i think it should be worn with a tighter shirt that is tucked in unlike the picture. this is truly a pretty pencil skirt.,Positive
167,This will be perfect for the mild fall weather in texas. its light weight and i love that the top is a little more fitted and the bottom swings out.,Positive
169,"I love the dresses by maeve and this one is no exception. i was pleasantly surprised upon receiving this dress because i wasnt sure about the print size and colors when i saw it online, but the print is beautiful. its a very simple but elegant style and the ruffle on the back adds an extra touch of interest. i like that it has enough coverage at the top (front and back), the underarms do not fall very low, and it is lined. the a-line skirt will flatter most body types. the fabric and overall q",Positive
178,"The colors are vivid and perfectly autumnal but the fit is a mess. it was overall too large, the waistline curves up in the front and then falls into small pleats which was maternityish, the waistband was thicker than the dress and sat away from my body and the material was a cheapish poly. had the outer dress been made from the same material as the lining, i would have liked it better. the modesty closure was a plus but the dress was already unraveling when i took it out. #returned",Negative
182,I like this sweater so much i just bought it in a second color! the pleats make the sweater conform to my shape just enough to be flattering. i wore it over three different dresses this week that might have felt too bare for work or cooler weather. i live in a hot climate so this is the right weight for our cooler months. the metallic threads give it a little bit of flair and the grey color goes with everything. im 57 size 10-12 and the large fit just right.,Positive
184,"Online, this looks like a great sweater. i ordered an xxsp and found that this sweater is much wider in the middle than pictured. in fact, im pretty sure they pinned the shirt in the back for the picture to make it appear slimmer. unfortunately, this sweater will not work for me, as i am an hourglass shape and this shirt makes me look 20 pounds heavier.",Negative
185,"I was worried about this item when i ordered it because of how it looks in the picture, but i had wishful thinking. i should have gone with my gut! this shirt does not have the same quality as all my other retailer purchases. it is see-through and flimsy. the bottom is just like the picture, it hangs in an odd rumpled way. the top is very flattering though, so its a shame! if the bottom fit nicer like their other products i could have gotten away with wearing a cami under it to make up for the qu",Negative
187,This easel caftan is simply amazing! the silhouette fits all sizes and shapes while providing a unique dress.,Positive
191,"I was minimally torn over whether to return this but ultimately its going back because the knit is just too thin. i thought it would be cozy and be of normal sweater weight but its not. and because its so light, the swing effect doesnt really come off. nothing special.",Negative
197,"Unlike the other reviewers, i did not have any problem with the sizing, fit or length of this skirt. it is a midi skirt so i think its suppose to be a little bit longer?? for me it fit true to size. for reference i am 58, 135 pounds and the size 6 fit perfectly. i think the color is beautiful and the quality is good.",Positive
199,"This skirt looks exactly as pictured and fits great. i purchased it a few weeks ago and got lots of compliments on it. however, on the third wear, the side zipper split wide open. needless to say, it was returned.",Negative
200,"Dang, i got a small and was still swimming in it. its made of the fabric that increasingly seems to be the fabric of choice for all things t-shirty- soft and thin-ish, a bit translucent. id rather wait for something more formfitting and flattering- back it went.",Negative
202,"Bought this item on sale and was very disappointed in the quality for the cost. fabric feels cheap, like it will snag easily and will stretch out quickly. did not flatter the female form- felt like a burlap sack. gorgeous blue color but not worth the price tag. returned it.",Negative
204,"I loved this top; it reminded me of one i have from retailer from circa 2008 in black and white; however, on this one, the chest area is too big, in both the 14 and 16, and i even found myself tugging downward on the fabric to keep it in place because the waist is elastic and also too big. i probably need a size 12, but then i fear it would be too short-waisted on me, for i am 510. unfortunately, it is not for me. also, the sleeves are much bigger and flouncier than they appear in the photo on t",Negative
205,"I love the rich deep color and the style but once again this brand runs really small in the waist. i am normally a 8/10 in retailer skirts and the size 10 was tight at the waist enough so i could not button it and feel comfortable. the quality is ok, something i feel i would see at another type of discount store. for me this skirt did not work but the color and softness of the fabric was a plus.",Negative
209,Love the fabric of this shirt even though it was thinner than i expected. it is soft to the skin and flattering. however i returned it because it is made for women with long torso and shorter shoulders.,Negative
210,"I have already worn this several times. it is very flattering, lightweight, and easy to wear. dressy but also very soft and comfortable.",Positive
214,"The skirt that i received had very little blue or green in it, and was mostly white, yellow and some red. the fit was fine but the quality for the price was not there for me. the lack of quality and the disappointment in the quality equals a return.",Negative
216,"Bought a large, could barely pull up over my butt. runs extremely small. its cute but if your not a stick figure, this is not the suit for you.",Negative
217,"Adorable... too chilly now to wear alone & too cute to cover it up! my navy parka or jean jacket will prob be ok w/ it though. size 6 fits me perfectly & looks pretty much on me as in the pic. love plaid & cotton blend tops anyways. ruffles - adorable, & im not too big on that but do love this look. when i first removed this top from the packaging it had an odd smoky-like odor, but its the dye i think. after hanging it for a few days the smell disappeared. i have in mind to wear w/ the pilcr",Positive
218,"This dress makes you feel like a bohemian goddess.  falls in the right area and absolutely adorable.  the dress is very fragile, handle with care.",Positive
219,This is my new favorite top! looks and fits as described.,Positive
223,"I needed a dress that was easy to throw on for summer days and this dress is perfect for that. its flattering, light weight and unique. ive received a handful of compliments while wearing this dress. i am 5 6 150 lbs, hourglass figure and typically purchase a small or medium (8-10) and chose a small for this dress. id say its still loose on me- which is what i prefer. the scoop neck and cut out allows you wear a normal bra. however, ive noticed im more comfortable wearing a camisole or s",Positive
232,"The shirt is absolutely cute looking. but thats just that....looks. im 52 size 6 & wears m to l top. i tried on the medium in the store, it was rather flowing. i liked it. but i didnt like how it fit on the underarm area. it hung very low. so i ordered a petite m. still the same. plus the store the lighting was dark so i didnt realize how see through the shirt was too. had to return it.",Negative
233,"These jeans! i tried these on, in addition to the high rise paige denim, and these won out hands down. classic flattering fit from mother, with an element of edginess with the frayed hem. these are long enough on me (im 55) to cuff at the ankle if i dont want a distressed look on a particular day. they are slightly stretchy like other mother denim but not so much that i would size down. i have muscular calves and thighs, but someone who does not could likely size down and be happy with the a",Positive
234,"I ordered this top in my usual size and am exchanging it for one size smaller.
it runs very generous, and so the sizing is a little off.
the style and quality are beautiful, so i am anxious to receive the smaller size.",Positive
237,I have a similar pair of capris from retailer and when i ordered these i thought they were the same in a different color. these are less flattering and i may not keep them.,Negative
238,"Fun detail with the beading and lace! arms are a little longer while the body of the sweatshirt is a little shorter than expected, but thats the style of the piece. the fit was tts with those proportions mind.  the ladies at the store said that if i ordered the size up, it might be a little longer in the body, but that the arms and shoulders would have been the biggest change. the material isnt too thick, so its a nice lighter layer for fall/spring. really love it!",Positive
239,"I love the style of this top, and the longer length would be great with leggings and fitted shorts. its somewhat fitted on the top yet its a-line shape gives a full swing at the bottom. the ruffled v-neckline is pretty, and i like the longer length of the short sleeves. but with all these attributes, unfortunately they cut the armholes really big, so when you put your arms forward, the sleeves pull against your arms. i was trying to decide if i should keep it anyway, but for $98 dollars i thin",Negative
241,"I loved this dress from the moment i tried it on. so flattering to my postpartum body without being a huge tent. soft fabric, and for a white/lightly striped dress, not sheer. im bummed because after washing only twice (followed the instructions to wash) on gentle cycle and low tumble dry, holes started appearing everywhere, both on the cream ribbed hem in the front bottom and all across the chest, in the white part of the fabric only (it looks like the black stripes are holding the holes toget",Negative
253,"I have this dress on today in white and i am coming back to buy the second color even though pink is not my favorite. great comfy, casual dress that pairs well with a variety of shoes and jewelry to dress it up. highly recommend for summer!",Positive
258,"Fits well through the shoulders and arms, but there is zero waist, and it just looks like a bunch of extra fabric hanging from the top. super cute, but have to return because of that.",Negative
262,"I really wanted to love this t and was excited to receive it in the mail. i thought i was being realistic in assuming that is would be somewhat sheer given that there doesnt seem to be a womans white t on the planet that isnt these days, however it was really sheer. the fit was also short and boxy (this coming from a 53 woman who is short-waisted) on the plus size the material is extremely soft and the design is cute. maybe if you are younger and dont mind the sheerness its worth the gambl",Negative
273,"Bought both colors in xs and soooooo glad i did. this dress is absolutely gorgeous in either color... will have (do to the nice quality) and wear (very stylish) for a loooooong time.

a must have for the summer!!!!!!",Positive
274,"Comfy sweatshirt with fun polka dot details. soft and not baggy. a little on the shorter side so i think i will layer a lace cami underneath and it will look even prettier. im 57, 140 pounds with an athletic, hourglass shape, 32dd. i bought the 2 which equates to a medium since i wanted it a little looser being a sweatshirt (im normally an retailer small but i dont think that would have worked in this case as it would have been too fitted). great comfy weekend piece!",Positive
276,Pretty top. love the color and the large ruffle. makes it great for layering or with a pretty necklace.,Positive
281,"This dress is gorgeous!!! i love it! i bought it to wear to a july wedding. i got the navy and it is so fresh and crisp in color. the sizing is on spot! i slipped it on and it was comfortable, easy and stylish. i am 57 and typically xs. it falls exactly as portrayed in the online photos. it is lined in the skirt and the top is stretch jersey in the best weight! i am in love!",Positive
286,"Like the other reviewer said this top is extremely wide and boxy. it must be pinned in the picture online. its very frustrating when they do that. thank goodness i didnt pay for shipping! for reference, im 52 and 135 pounds and bought the xxs, its going back for sure. im trying to lose baby weight, not trying to look pregnant!",Negative
288,"I wanted to love this sweatshirt, but alas, it is going back. upon opening and unfolding, the first thing i noticed: the dots and not solid. they are sort of distressed looking, with parts of them missing. secondly, it doesnt have a lot of structure. its soft and kind of floppy but in a weird way. its just not flattering on me. it looks more like a pajama top than something i would wear out of the house. for reference, i ordered the 3, and im usually a 10/12 in tops.",Negative
290,The cut is brilliant-the wash is subtle-the weight of the denim is sturdy but not stuff-and the stretch is just right. love it. the perfect staple. a scarf in the fall and rolled sleeves in the spring.,Positive
292,I love these. im between a 29 and 30 and as the 30s were sold out i had to go with the 29s. they fit well. as expected. very nice fabric. good design. have to wear a short shirt or one tucked in. fabric has a bit of stretch which is also nice.,Positive
296,I love these culottes and i think they will be everywhere this coming spring / summer. the high waist is perfect and looks great with shorter shirts or tucked-in. the denim is high quality and a nice medium dark color.,Positive
297,Im glad i listened to the other reviewers...i ordered a large instead of my usual medium. its roomy enough for a sweater underneath. i love the denim! its very soft and has some stretch. my other denim jackets are stiff even after years of washing. i also love the darker denim.,Positive
303,"I wore this dress for the first time yesterday... i have never received so many compliments on a dress before! several people even stopped me in the streets of nyc to tell me how beautiful this dress was!
it is an absolute must-have!",Positive
305,"I love this little jean jacket! i am petite and usually get a xxsp , but went for a size up. im glad i did. it fits a little snug. the color is true to the photo and the material is a medium to heavy denim. the arm length in the petite size is perfect for me. i love this - over maxi dresses, tanks, etc... adorable jacket - great buy!!",Positive
311,"Looks beautiful online but has too much material and the zipper catches on the lace. also runs very large, i am normally a small but would need and xs in this dress",Negative
312,True to size on the neckline and arms but extremely large and puffy in the torso. very unflattering cut!,Negative
314,"I thought this top was adorable in the store and online. it just didnt work for me. although it fit, it flares out too much in the front and just wasnt flattering on me. i am 5 5 and 128 lbs. and ordered the small.",Negative
315,"Love this top! made with 100% cotton, a vintage look, and flattering details this top is a winner for me. i think it fits true to size (got my regular size 0) and i did not need the petite and i am fairly short (53). it is somewhat see through, but with wearing a nude bra and not wearing it to work, i think it can be worn without a cami. the perfect lightweight, comfortable, standout piece for the summer time :)",Positive
316,I really like this blouse a lot. very very easy to wear!! i wore with pencil skirt to work and with skort as shown similar on model with sandals on weekend. very flattering and great blue color!!! very happy with this purchase. highly recommend. i am 56 short torso and my usual 6 worked.,Positive
321,"This blouse is so pretty. i love the long tie. the pattern is very unique. it is a thin, light weight fabric so you can easily wear it underneath a leather jacket.",Positive
322,"This is a beautiful blouse...sheer and feminine. i am small busted and slender so i need a size smaller than usual. it is a full top...cant tell exactly how full in the photos but with a small chest there is just too much under the arms. so if your chest is more ample you could prob order your regular size. this is supposed to be a full, shorter fit...i would say the style is going to look better on someone who is a little taller with a medium sized bust rather than someone who is shorter and b",Positive
324,"The photo of these is truly misleading - they are a beautiful vibrant print - see the close-up photo. they are much longer on a regular person - they come a few inches above my ankle and i am 55there is a neat slit off to the side on the front of each (like a pleat) that really allows a nice flow. these look great with boots, flats and do sit lower on the waste as i think they run slightly large. not lined, but drape beautifully. there are pockets (sewn closed upon purchase) and pack pockets.",Positive
325,"Like another reviewer mentioned, this shirt is way too short. im only 52 (xs) and there is no way this top would tuck in like on the model. also, the quality isnt great as its very thin and there are strings hanging from some of the seams in the front. its a shame b/c the print is really pretty and there is this cute little bicycle charm on the tag which makes it feel more unique. sadly, its going back!",Negative
330,"I had high hopes for this top. really boxy, short",Negative
334,"This top was way too short (im only 51) and way too wide. the cut of this top was so wide, it looked like a tent on me. i really wanted to love this top because the material and style (sleeves, ruffle) are beautiful, unfortunately there is something wrong with the cut. ive have several blouses made by one fine day, which fit nicely, for some reason this top did not. i ordered in my usual s size, even going to an xs would not work because the cut is wrong.",Negative
338,"When i received this blouse, ai noticed that there were gold dots all over the blouse and they were very sticky. some of the fabric would stick to these dots. i thought it was because the weather was sticky and humid. however, after hanging on my closet door, the dots are still sticky. i do love the design and fabric so i will try not to let the sticky dots bother me.",Positive
343,"I tried this in the store and i like it - nice and soft, good basic design that will pair with many pieces. but i decided to wait because of the price. im sure i would get a lot of use out of this top, but ultimately it didnt thrill me enough to make it my top priority purchase. i bought a sweater that was on sale instead. still, a very nice top. i may buy it eventually, especially if it goes on sale.",Positive
344,Gorgeous in every way except its length and how it hangs at the bottom. i prefer a shirt i can wear tucked in or out. this one will work well tucked in but not out so i am returning disappointed it was so well done in other particulars.,Negative
346,"I bought this in a petite size s after trying on the regular size in the store. it was a good move because the proportions in length and width are more flattering. the pattern is busy but works well with patterns in the same color group. it has no finished seams on any edge but that makes it drape nicely. it is a soft, soft fabric, almost fleece-like but not plush.",Positive
349,"This top light and airy, which is perfect for spring. im usually into these types of blouses; however, this didnt quite fit right on me. its a little too boxy and too low cut in the front for some reason. i loved the design and really wanted to like it... i just didnt love it enough to purchase it.",Negative
350,"This blouse is so beautiful - the collar, sleeves, material...everything except the cut! it was like a tent. it needed to be more tapered, which would be easy to do while still maintaining the beautiful breezy flow, and be about two inches longer.

i had been drooling over this top for awhile and was so disappointed! please fix it and then i will buy again. i am 54, 140lbs and busty...a small was perfect, with the exception of the massive amount of material.",Negative
353,"Not a coat by any means, merely a thin wool boucle like sweater with a cheap thin synthetic lining ---and i also would never want the lining to be seen by anyone if i were to set the sweater on a chair or be helped in putting the thing on. the length and bulk is hard to layer under anything else and isnt pretty enough for a spring coat..sizing is also 2 sizes larger than anticipated.",Negative
356,"The fabric was nothing special (i usually like a cotton/silk blend woven fabric, but this was stiff feeling) and the pattern was cute. but what made me return it was the fact that 1) the rose gold glitter dots are puffy paint. literally. puffy. paint. and 2) the dots were not quite dry on my top when it arrived. parts of the paint came off on my fingers and the top was stuck to itself because of it. i could barely unfold it.

im sure this could have been cute, but who wants a top that looks lik",Negative
358,This top is good quality and cute. it runs large- im usually a medium and needed a small. the reason i will be returning it is because it flares out at the bottom on the black which is very unflattering on. it makes me look wide in the waist or like im wearing a maternity top. unfortunate because i really liked everything else about it.,Negative
362,"This blouse is super cute but oddly sized. i bought a size up and still i squeezed into the top around the bust. the front slit is too low and shows a bit too much cleavage, so this had to go back. i really tried because the fabric is wonderful and the shirt is light and breezy for summer, i just couldnt make it work
.",Negative
367,"Not sure why this shirt is getting bad reviews. i am tall and have a long torso, so perhaps that is the issue for some who find it not so flattering? maybe if your taller it hangs better? i have to say... i love everything about it. it is a fantastic print, it is very flowy but i dont think its too much in that regard. i think it is fitting with the romantic, girly style of the garment. in my opinion not too short, just right. i took a medium, i am 58 and athletic.",Positive
368,"I love maeve and was so excited for this top which looked like an update from a last season favorite. unfortunately the fabric was stiff, it was tight in the chest and went straight down from there. returned.",Negative
370,I love this top. i got it on sale and am so glad that i did. it is a short too but still super flattering. it isnt too boxy on me.,Positive
374,"Surprisingly flattering on, especially with pants/jeans. extremely figure flattering because it enhances the figure and hides flaws: the pleating enhances the bust, the v-cut provides a touch of a peekaboo (not enough to show cleavage but its there in a super flattering way), the hem flares out a bit to hide the tummy and enhance the bust even more; the short sleeves are versatile so it can be worn in the office, under a jacket, or just plain for going out. the material is not too thick but not",Positive
376,"I was looking for a basic tee, but this one was just ok...the quality is okay, but it us not as soft as i would have liked. unfortunately,  i will be returning this item.",Negative
378,I wouldve looked right over this online but i saw it in store and had to try on. the navy and the white were both cute but i tried the navy. im usually a m but went with the s b/c it looked better fitted. this shirt has a very vintage feel to it and is slinky and comfy. i cant wait to wear. would look great with white jeans!,Positive
379,This elegant white lace dress attracted compliments everywhere i wore it. it is classic with just the right amount of quirkiness . i like everything about it!,Positive
